timer,fight_result,has_round_started,is_round_over,Player1_ID,health,x_coord,y_coord,is_jumping,is_crouching,is_player_in_move,move_id,player1_buttons up,player1_buttons down,player1_buttons right,player1_buttons left,Player2_ID,Player2 health,Player2 x_coord,Player2 y_coord,Player2 is_jumping,Player2 is_crouching,Player2 is_player_in_move,Player2 move_id,player2_buttons up,player2_buttons down,player2_buttons right,player2_buttons left
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,True,False,True,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,True,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,True,False,True,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,True,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,True,True,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,True,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,False,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,False,False,True,3,176,156,192,False,False,False,0,False,False,False,False
117,NOT_OVER,True,False,0,176,80,192,False,False,False,0,False,True,False,True,3,176,156,192,False,False,False,0,False,False,False,False
